entry_time,exit_time,direction,entry_px,exit_px,pnl_pts,exit_reason
2022-03-31 13:30:00,2022-03-31 13:30:00,long,1495.6,1495.5172345290848,-1.5228,stop
2022-03-31 13:50:00,2022-03-31 13:55:00,long,1495.1,1493.812124494978,-2.7279,stop
2022-04-01 09:30:00,2022-04-01 09:30:00,short,1498.5,1499.8014396512747,-2.7414,stop
2022-04-01 09:55:00,2022-04-01 10:00:00,short,1498.6,1500.6845949525691,-3.5246,stop
2022-04-01 10:20:00,2022-04-01 10:20:00,short,1504.6,1505.2637942177023,-2.1038,stop
2022-04-01 10:40:00,2022-04-01 10:40:00,short,1506.1,1506.4331249052132,-1.7731,stop
2022-04-01 11:00:00,2022-04-01 11:00:00,short,1510.1,1508.9946945304878,-0.3347,stop
2022-04-01 11:20:00,2022-04-01 11:20:00,short,1511.7,1509.768846236393,0.4912,stop
2022-04-01 13:50:00,2022-04-01 13:50:00,short,1518.8,1518.8005547170906,-1.4406,stop
2022-04-01 14:10:00,2022-04-01 14:10:00,short,1520.4,1520.1519787250588,-1.192,stop
2022-04-01 14:30:00,2022-04-01 14:30:00,short,1526.5,1525.6549574028531,-0.595,stop
2022-04-04 10:05:00,2022-04-04 10:15:00,short,1536.6,1532.1,3.06,target
2022-04-04 10:15:00,2022-04-04 10:25:00,long,1532.1,1531.601415894213,-1.9386,stop
2022-04-04 10:45:00,2022-04-04 11:00:00,long,1530.5,1527.0500434611085,-4.89,stop
2022-04-04 13:45:00,2022-04-04 13:45:00,long,1528.8,1527.7155922448012,-2.5244,stop
2022-04-04 14:05:00,2022-04-04 14:20:00,short,1532.0,1533.3564595142207,-2.7965,stop
2022-04-05 09:45:00,2022-04-05 09:45:00,short,1525.7,1526.1980786363813,-1.9381,stop
2022-04-05 10:05:00,2022-04-05 10:05:00,short,1528.6,1529.14653135369,-1.9865,stop
2022-04-05 10:25:00,2022-04-05 10:35:00,short,1528.7,1530.1381650290168,-2.8782,stop
2022-04-05 10:55:00,2022-04-05 11:15:00,short,1529.7,1530.6437219759632,-2.3837,stop
2022-04-05 13:30:00,2022-04-05 13:30:00,long,1526.8,1526.625961927252,-1.614,stop
2022-04-05 14:10:00,2022-04-05 14:10:00,long,1526.7,1525.839881576497,-2.3001,stop
2022-04-05 14:30:00,2022-04-05 14:30:00,long,1524.6,1524.3882796493385,-1.6517,stop
2022-04-06 09:50:00,2022-04-06 09:50:00,short,1521.4,1522.1131255192656,-2.1531,stop
2022-04-06 10:10:00,2022-04-06 10:10:00,short,1525.6,1524.916033484539,-0.756,stop
2022-04-06 10:30:00,2022-04-06 10:30:00,short,1529.2,1530.3190706746502,-2.5591,stop
2022-04-06 10:50:00,2022-04-06 10:55:00,short,1536.3,1537.845965421796,-2.986,stop
2022-04-06 11:15:00,2022-04-06 11:30:00,short,1541.4,1537.7,2.26,session_end
2022-04-06 13:30:00,2022-04-06 13:30:00,long,1537.3,1535.8006969069972,-2.9393,stop
2022-04-06 14:05:00,2022-04-06 14:20:00,long,1535.5,1546.3,9.36,target
2022-04-06 14:20:00,2022-04-06 14:20:00,short,1546.3,1545.928216357492,-1.0682,stop
2022-04-07 10:20:00,2022-04-07 10:30:00,short,1542.7,1540.1,1.16,target
2022-04-07 11:10:00,2022-04-07 11:10:00,long,1536.0,1536.182742346934,-1.2573,stop
2022-04-07 11:30:00,2022-04-07 11:30:00,long,1536.8,1536.6,-1.64,session_end
2022-04-07 13:40:00,2022-04-07 13:40:00,short,1539.6,1540.4236701094173,-2.2637,stop
2022-04-07 14:05:00,2022-04-07 14:05:00,long,1536.8,1536.1257496956132,-2.1143,stop
2022-04-07 14:30:00,2022-04-07 14:30:00,long,1531.6,1530.6350963631667,-2.4049,stop
2022-04-08 09:45:00,2022-04-08 09:45:00,short,1533.3,1533.9176119920392,-2.0576,stop
2022-04-08 10:05:00,2022-04-08 10:10:00,short,1534.3,1532.7,0.16,target
2022-04-08 10:30:00,2022-04-08 10:35:00,long,1530.6,1528.9573041996753,-3.0827,stop
2022-04-08 11:00:00,2022-04-08 11:30:00,long,1528.5,1529.0,-0.94,session_end
2022-04-08 13:35:00,2022-04-08 13:35:00,long,1525.4,1525.1108220267718,-1.7292,stop
2022-04-08 13:55:00,2022-04-08 14:30:00,short,1531.8,1526.0,4.36,target
2022-04-08 14:35:00,2022-04-08 14:35:00,long,1526.0,1526.0,-1.44,session_end
2022-04-12 09:30:00,2022-04-12 09:35:00,long,1522.5,1521.5173349930672,-2.4227,stop
2022-04-12 09:55:00,2022-04-12 09:55:00,long,1518.8,1519.0805225110005,-1.1595,stop
2022-04-12 10:15:00,2022-04-12 10:25:00,long,1513.8,1511.7325724189877,-3.5074,stop
2022-04-12 10:45:00,2022-04-12 10:50:00,long,1513.2,1508.6115845596569,-6.0284,stop
2022-04-12 11:10:00,2022-04-12 11:20:00,long,1511.5,1509.1707965453631,-3.7692,stop
2022-04-12 13:30:00,2022-04-12 13:35:00,short,1513.7,1511.6,0.66,target
2022-04-12 13:45:00,2022-04-12 13:45:00,short,1515.0,1516.2342891745748,-2.6743,stop
2022-04-12 14:35:00,2022-04-12 14:35:00,long,1509.4,1509.4,-1.44,session_end
2022-04-13 09:40:00,2022-04-13 09:40:00,short,1515.3,1515.1424352418003,-1.2824,stop
2022-04-13 10:50:00,2022-04-13 11:25:00,long,1511.6,1515.1,2.06,target
2022-04-13 13:40:00,2022-04-13 13:45:00,long,1516.9,1516.2214266742315,-2.1186,stop
2022-04-14 09:30:00,2022-04-14 09:40:00,long,1521.6,1522.6,-0.44,target
2022-04-14 09:55:00,2022-04-14 10:00:00,long,1520.8,1520.3717488066147,-1.8683,stop
2022-04-14 10:30:00,2022-04-14 10:50:00,short,1523.0,1522.1,-0.54,target
2022-04-14 11:15:00,2022-04-14 11:30:00,long,1520.2,1520.8,-0.84,session_end
2022-04-14 13:30:00,2022-04-14 13:30:00,long,1518.5,1518.5556441093715,-1.3844,stop
2022-04-14 13:50:00,2022-04-14 13:50:00,long,1518.4,1517.9228046317223,-1.9172,stop
2022-04-14 14:10:00,2022-04-14 14:10:00,long,1517.2,1516.3361616371528,-2.3038,stop
2022-04-14 14:30:00,2022-04-14 14:30:00,long,1509.4,1510.4883481746306,-0.3517,stop
2022-04-15 09:55:00,2022-04-15 09:55:00,long,1510.3,1509.6726201431588,-2.0674,stop
2022-04-15 10:15:00,2022-04-15 10:15:00,long,1508.5,1506.7713839098956,-3.1686,stop
2022-04-15 11:05:00,2022-04-15 11:30:00,short,1515.8,1514.1,0.26,session_end
2022-04-15 13:40:00,2022-04-15 13:45:00,long,1510.2,1509.0997216643489,-2.5403,stop
2022-04-15 14:05:00,2022-04-15 14:05:00,long,1505.1,1505.4579340093135,-1.0821,stop
2022-04-15 14:25:00,2022-04-15 14:25:00,long,1494.8,1497.6675842803895,1.4276,stop
2022-04-18 09:55:00,2022-04-18 09:55:00,long,1486.0,1485.1969890098462,-2.243,stop
2022-04-18 10:35:00,2022-04-18 10:35:00,long,1486.7,1483.7941076414727,-4.3459,stop
2022-04-18 11:05:00,2022-04-18 11:15:00,long,1485.7,1481.7176173147438,-5.4224,stop
2022-04-18 13:50:00,2022-04-18 13:50:00,long,1473.3,1472.8954528199686,-1.8445,stop
2022-04-18 14:15:00,2022-04-18 14:35:00,short,1485.8,1478.5,5.86,session_end
2022-04-19 09:50:00,2022-04-19 10:10:00,short,1479.9,1476.5,1.96,target
2022-04-19 10:10:00,2022-04-19 10:10:00,long,1476.5,1475.395351609956,-2.5446,stop
2022-04-19 11:00:00,2022-04-19 11:00:00,short,1483.3,1483.8257776065736,-1.9658,stop
2022-04-19 11:20:00,2022-04-19 11:30:00,short,1482.5,1482.6,-1.54,session_end
2022-04-19 13:30:00,2022-04-19 13:30:00,long,1478.5,1478.3620845965543,-1.5779,stop
2022-04-19 13:50:00,2022-04-19 13:50:00,long,1475.8,1476.4226387959914,-0.8174,stop
2022-04-19 14:10:00,2022-04-19 14:10:00,long,1470.2,1472.5525980456523,0.9126,stop
2022-04-19 14:30:00,2022-04-19 14:30:00,long,1455.0,1459.1298052614252,2.6898,stop
2022-04-20 09:35:00,2022-04-20 09:35:00,long,1450.8,1449.8661027393696,-2.3739,stop
2022-04-20 09:55:00,2022-04-20 10:05:00,long,1451.5,1448.9534291353461,-3.9866,stop
2022-04-20 10:25:00,2022-04-20 10:25:00,long,1446.3,1445.3733946847792,-2.3666,stop
2022-04-20 10:55:00,2022-04-20 11:00:00,long,1447.9,1452.8,3.46,target
2022-04-20 13:35:00,2022-04-20 13:35:00,long,1446.2,1443.4137091776252,-4.2263,stop
2022-04-20 14:15:00,2022-04-20 14:15:00,long,1439.5,1438.7621397096707,-2.1779,stop
2022-04-20 14:35:00,2022-04-20 14:35:00,long,1439.0,1439.0,-1.44,session_end
2022-04-21 09:40:00,2022-04-21 09:40:00,long,1435.0,1434.3954233984962,-2.0446,stop
2022-04-21 10:00:00,2022-04-21 10:25:00,long,1430.5,1426.2194751443765,-5.7205,stop
2022-04-21 11:30:00,2022-04-21 11:30:00,short,1442.8,1443.2,-1.84,session_end
2022-04-21 13:30:00,2022-04-21 13:40:00,long,1443.3,1440.056246628752,-4.6838,stop
2022-04-21 14:00:00,2022-04-21 14:25:00,long,1439.8,1437.535001729599,-3.705,stop
2022-04-22 09:30:00,2022-04-22 09:30:00,short,1452.3,1452.3176517694205,-1.4577,stop
2022-04-22 09:50:00,2022-04-22 09:50:00,short,1454.6,1455.6553945453795,-2.4954,stop
2022-04-22 10:10:00,2022-04-22 10:20:00,short,1455.1,1457.0898998641462,-3.4299,stop
2022-04-22 13:30:00,2022-04-22 13:30:00,long,1444.8,1444.141527364496,-2.0985,stop
2022-04-22 13:50:00,2022-04-22 13:55:00,long,1443.6,1442.7723123894384,-2.2677,stop
2022-04-22 14:15:00,2022-04-22 14:20:00,long,1440.9,1447.9,5.56,target
2022-04-22 14:25:00,2022-04-22 14:30:00,short,1450.8,1444.0,5.36,session_end
2022-04-25 10:00:00,2022-04-25 10:10:00,long,1437.9,1434.598453715346,-4.7415,stop
2022-04-25 10:30:00,2022-04-25 10:30:00,long,1429.2,1426.7598565485855,-3.8801,stop
2022-04-25 10:50:00,2022-04-25 10:55:00,long,1429.0,1424.4374778411,-6.0025,stop
2022-04-25 11:15:00,2022-04-25 11:15:00,long,1421.6,1419.7801235997667,-3.2599,stop
2022-04-25 13:30:00,2022-04-25 13:35:00,long,1394.1,1389.2839053434568,-6.2561,stop
2022-04-25 13:55:00,2022-04-25 13:55:00,long,1388.7,1384.5638971765725,-5.5761,stop
2022-04-25 14:15:00,2022-04-25 14:15:00,long,1361.0,1354.9207395208857,-7.5193,stop
2022-04-26 09:35:00,2022-04-26 09:35:00,long,1353.0,1350.6033830277388,-3.8366,stop
2022-04-26 10:55:00,2022-04-26 11:30:00,short,1374.6,1375.3,-2.14,session_end
2022-04-26 13:40:00,2022-04-26 13:40:00,long,1367.9,1362.680918672021,-6.6591,stop
2022-04-26 14:05:00,2022-04-26 14:20:00,long,1362.3,1380.0,16.26,target
2022-04-26 14:35:00,2022-04-26 14:35:00,short,1391.1,1391.1,-1.44,session_end
